,uncertainty,function_type,expected_cost,expected_emissions,service_level,avg_inventory
0,0.1,linear,895499.058193715,7427.503934359908,0.9689626189658324,16.309227233182998
1,0.1,quadratic,935269.8574254214,9800.025586239488,0.9684663988372765,20.799461591535913
2,0.1,exponential,786492.9851591695,1006.9831299369428,0.9744425007897353,19.36499281806809
3,0.1,logarithmic,808903.0701959264,2378.594426809628,0.9763663020819984,17.60778657211538
4,0.2,linear,895499.058193715,7427.503934359908,0.9689626189658324,16.309227233182998
5,0.2,quadratic,935269.8574254214,9800.025586239488,0.9684663988372765,20.799461591535913
6,0.2,exponential,786492.9851591695,1006.9831299369428,0.9744425007897353,19.36499281806809
7,0.2,logarithmic,808903.0701959264,2378.594426809628,0.9763663020819984,17.60778657211538
8,0.3,linear,895499.058193715,7427.503934359908,0.9689626189658324,16.309227233182998
9,0.3,quadratic,935269.8574254214,9800.025586239488,0.9684663988372765,20.799461591535913
10,0.3,exponential,786492.9851591695,1006.9831299369428,0.9744425007897353,19.36499281806809
11,0.3,logarithmic,808903.0701959264,2378.594426809628,0.9763663020819984,17.60778657211538
